Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Train_Sec
HistGradientBoosting,0.9986819807945773,0.9976540368271954,0.9995565213534968,0.9986043729647106,0.9999657239305907,0.9999604809093662,40.6
Random Forest,0.9977614594447582,0.9979144479943202,0.997339128120981,0.9976267051125651,0.9999285173894125,0.9999139167770411,109.2
Extra Trees,0.9948743697566895,0.9969254077176722,0.9921947758215441,0.9945544664488454,0.9998266823977179,0.9998122597203035,79.1
Logistic Regression,0.6196363940668215,0.582390221819828,0.6846423344715952,0.6293903010783375,0.5973838975098894,0.5860288064463877,111.6
