Threshold,Accuracy,Precision,Recall,F1-score
0.05,0.9978660641436014,0.9957595300145766,0.9997339128120981,0.9977427635655484
0.1,0.9983681666980481,0.9968602131517269,0.9996895649474478,0.998272884283247
0.15,0.9984309295173539,0.9969924812030075,0.9996895649474478,0.9983392014880754
0.2,0.9985146132764284,0.9972128826756327,0.9996452170827974,0.9984275684893584
0.25,0.998535534216197,0.9972570012830155,0.9996452170827974,0.9984496810772502
0.3,0.9985564551559656,0.9973011237943544,0.9996452170827974,0.9984717946446369
0.35,0.9986401389150401,0.9974776528896363,0.9996452170827974,0.9985602587104349
0.4,0.9986610598548087,0.9975658331489268,0.9996008692181472,0.998582314371788
0.45,0.9986610598548087,0.9975658331489268,0.9996008692181472,0.998582314371788
0.5,0.9986819807945773,0.9976540368271954,0.9995565213534968,0.9986043729647106
0.55,0.9986610598548087,0.997653932982161,0.9995121734888465,0.9985821887461231
0.6,0.9985982970355028,0.9976976888337908,0.9993347820302453,0.9985155644178575
0.65,0.9984936923366597,0.9977853567790229,0.999024346977693,0.9984044674910252
